TreeDepth,Cache,FileObject,FileName,Result
0,ImageSectionObject,0x863b95c0,mswsock.dll,file.0x863b95c0.0x863b9128.ImageSectionObject.mswsock.dll.img
0,ImageSectionObject,0x863ba4d8,wship6.dll,file.0x863ba4d8.0x85a30dc8.ImageSectionObject.wship6.dll.img
0,ImageSectionObject,0x86274f80,secur32.dll,file.0x86274f80.0x86296d20.ImageSectionObject.secur32.dll.img
0,DataSectionObject,0x8250d248,srvcli.dll,file.0x8250d248.0x84304790.DataSectionObject.srvcli.dll.dat
0,ImageSectionObject,0x8250d248,srvcli.dll,file.0x8250d248.0x82510998.ImageSectionObject.srvcli.dll.img
0,ImageSectionObject,0x82521f18,authz.dll,file.0x82521f18.0x82522008.ImageSectionObject.authz.dll.img
0,ImageSectionObject,0x82526920,winsta.dll,file.0x82526920.0x825265b0.ImageSectionObject.winsta.dll.img
0,ImageSectionObject,0x8250ee08,scesrv.dll,file.0x8250ee08.0x82510008.ImageSectionObject.scesrv.dll.img
0,DataSectionObject,0x8250c948,cryptbase.dll,file.0x8250c948.0x869f5948.DataSectionObject.cryptbase.dll.dat
0,ImageSectionObject,0x8250c948,cryptbase.dll,file.0x8250c948.0x8250c4c8.ImageSectionObject.cryptbase.dll.img
0,ImageSectionObject,0x8250e180,sspicli.dll,file.0x8250e180.0x86296008.ImageSectionObject.sspicli.dll.img
0,ImageSectionObject,0x85ce1738,scext.dll,file.0x85ce1738.0x8250d4c0.ImageSectionObject.scext.dll.img
0,ImageSectionObject,0x82513440,apphelp.dll,file.0x82513440.0x82513730.ImageSectionObject.apphelp.dll.img
0,ImageSectionObject,0x8614d758,profapi.dll,file.0x8614d758.0x86296bd8.ImageSectionObject.profapi.dll.img
0,ImageSectionObject,0x86348598,RpcRtRemote.dll,file.0x86348598.0x863499b0.ImageSectionObject.RpcRtRemote.dll.img
0,ImageSectionObject,0x8c1fadc0,KernelBase.dll,file.0x8c1fadc0.0x8d93b8d8.ImageSectionObject.KernelBase.dll.img
0,ImageSectionObject,0x8551ea40,ntdll.dll,file.0x8551ea40.0x8551e840.ImageSectionObject.ntdll.dll.img
0,ImageSectionObject,0x8563e398,msvcrt.dll,file.0x8563e398.0x85871ca8.ImageSectionObject.msvcrt.dll.img
0,ImageSectionObject,0x859e5558,rpcrt4.dll,file.0x859e5558.0x859e5900.ImageSectionObject.rpcrt4.dll.img
0,ImageSectionObject,0x8c19d3e8,usp10.dll,file.0x8c19d3e8.0x857e8e38.ImageSectionObject.usp10.dll.img
0,ImageSectionObject,0x8562a9f0,ws2_32.dll,file.0x8562a9f0.0x8562f830.ImageSectionObject.ws2_32.dll.img
0,ImageSectionObject,0x85620a80,user32.dll,file.0x85620a80.0x85620450.ImageSectionObject.user32.dll.img
0,ImageSectionObject,0x856218c8,imm32.dll,file.0x856218c8.0x85620778.ImageSectionObject.imm32.dll.img
0,ImageSectionObject,0x85871970,nsi.dll,file.0x85871970.0x85af3240.ImageSectionObject.nsi.dll.img
0,ImageSectionObject,0x85698d80,gdi32.dll,file.0x85698d80.0x855a7e80.ImageSectionObject.gdi32.dll.img
0,ImageSectionObject,0x8563ecd0,sechost.dll,file.0x8563ecd0.0x8563e760.ImageSectionObject.sechost.dll.img
0,ImageSectionObject,0x86105d80,advapi32.dll,file.0x86105d80.0x855c9980.ImageSectionObject.advapi32.dll.img
0,ImageSectionObject,0x85692408,lpk.dll,file.0x85692408.0x85675b80.ImageSectionObject.lpk.dll.img
0,ImageSectionObject,0x861577b0,msctf.dll,file.0x861577b0.0x86157f10.ImageSectionObject.msctf.dll.img
0,ImageSectionObject,0x85a5b808,apisetschema.dll,file.0x85a5b808.0x85aea198.ImageSectionObject.apisetschema.dll.img
0,ImageSectionObject,0x82423740,powrprof.dll,file.0x82423740.0x82463408.ImageSectionObject.powrprof.dll.img
0,DataSectionObject,0x863b5c08,PASSWD.LOG,file.0x863b5c08.0x85c95eb0.DataSectionObject.PASSWD.LOG.dat
0,ImageSectionObject,0x863b6ad8,rsaenh.dll,file.0x863b6ad8.0x863b6c58.ImageSectionObject.rsaenh.dll.img
0,ImageSectionObject,0x82513f80,lsass.exe,file.0x82513f80.0x8250fed8.ImageSectionObject.lsass.exe.img
0,ImageSectionObject,0x824f48c0,IPHLPAPI.DLL,file.0x824f48c0.0x824f4798.ImageSectionObject.IPHLPAPI.DLL.img
0,ImageSectionObject,0x8250e728,dssenh.dll,file.0x8250e728.0x82521278.ImageSectionObject.dssenh.dll.img
0,DataSectionObject,0x8648c038,ntdsapi.dll,file.0x8648c038.0x86468988.DataSectionObject.ntdsapi.dll.dat
0,ImageSectionObject,0x8648c038,ntdsapi.dll,file.0x8648c038.0x8648cd50.ImageSectionObject.ntdsapi.dll.img
0,ImageSectionObject,0x8426b7a0,CertPolEng.dll,file.0x8426b7a0.0x8426b268.ImageSectionObject.CertPolEng.dll.img
0,ImageSectionObject,0x8256e138,mpr.dll,file.0x8256e138.0x8256e308.ImageSectionObject.mpr.dll.img
0,ImageSectionObject,0x824f7a20,winnsi.dll,file.0x824f7a20.0x824f61f0.ImageSectionObject.winnsi.dll.img
0,ImageSectionObject,0x863b66f8,pku2u.dll,file.0x863b66f8.0x863b6878.ImageSectionObject.pku2u.dll.img
0,ImageSectionObject,0x82479370,WSHTCPIP.DLL,file.0x82479370.0x824791e8.ImageSectionObject.WSHTCPIP.DLL.img
0,ImageSectionObject,0x85a43818,netutils.dll,file.0x85a43818.0x85a438c0.ImageSectionObject.netutils.dll.img
0,ImageSectionObject,0x85a434c8,wkscli.dll,file.0x85a434c8.0x85a433a0.ImageSectionObject.wkscli.dll.img
0,ImageSectionObject,0x824aad08,samlib.dll,file.0x824aad08.0x824ab520.ImageSectionObject.samlib.dll.img
0,DataSectionObject,0x8245a5d8,userenv.dll,file.0x8245a5d8.0x8687c4e0.DataSectionObject.userenv.dll.dat
0,ImageSectionObject,0x8245a5d8,userenv.dll,file.0x8245a5d8.0x8245fda8.ImageSectionObject.userenv.dll.img
0,ImageSectionObject,0x82419860,gpapi.dll,file.0x82419860.0x8241d688.ImageSectionObject.gpapi.dll.img
0,ImageSectionObject,0x841b1598,bcryptprimitives.dll,file.0x841b1598.0x86274e58.ImageSectionObject.bcryptprimitives.dll.img
0,ImageSectionObject,0x863b7d38,TSpkg.dll,file.0x863b7d38.0x863b7ad8.ImageSectionObject.TSpkg.dll.img
0,ImageSectionObject,0x8552b810,efslsaext.dll,file.0x8552b810.0x825049f0.ImageSectionObject.efslsaext.dll.img
0,ImageSectionObject,0x82515948,sspisrv.dll,file.0x82515948.0x82516e58.ImageSectionObject.sspisrv.dll.img
0,ImageSectionObject,0x863484e0,netjoin.dll,file.0x863484e0.0x82504d40.ImageSectionObject.netjoin.dll.img
0,DataSectionObject,0x85fa3630,dnsapi.dll,file.0x85fa3630.0x85502268.DataSectionObject.dnsapi.dll.dat
0,ImageSectionObject,0x85fa3630,dnsapi.dll,file.0x85fa3630.0x85a305f8.ImageSectionObject.dnsapi.dll.img
0,ImageSectionObject,0x86296a98,schannel.dll,file.0x86296a98.0x863b42f8.ImageSectionObject.schannel.dll.img
0,ImageSectionObject,0x863b57d0,wdigest.dll,file.0x863b57d0.0x863b53c8.ImageSectionObject.wdigest.dll.img
0,ImageSectionObject,0x85fa3820,logoncli.dll,file.0x85fa3820.0x8c1d3210.ImageSectionObject.logoncli.dll.img
0,ImageSectionObject,0x863b95c0,mswsock.dll,file.0x863b95c0.0x863b9128.ImageSectionObject.mswsock.dll.img
0,ImageSectionObject,0x85a30038,msv1_0.dll,file.0x85a30038.0x85a30210.ImageSectionObject.msv1_0.dll.img
0,ImageSectionObject,0x85fa3250,netlogon.dll,file.0x85fa3250.0x863bbc58.ImageSectionObject.netlogon.dll.img
0,ImageSectionObject,0x863ba4d8,wship6.dll,file.0x863ba4d8.0x85a30dc8.ImageSectionObject.wship6.dll.img
0,ImageSectionObject,0x863b89b0,kerberos.dll,file.0x863b89b0.0x863b8560.ImageSectionObject.kerberos.dll.img
