TreeDepth,Allocation,Tag,PoolType,NumberOfBytes,Status
0,0x94b47000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94cfe000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9674c000,CM31,PagedPoolCacheAligned,0x3000,Allocated
0,0x964f4000,CMA,PagedPool,0x1000,Allocated
0,0x968f7000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x85d8a000,Cont,NonPagedPool,0x1000,Allocated
0,0x86185000,Pool,NonPagedPool,0x2000,Allocated
0,0x84c16000,Cont,NonPagedPool,0x1000,Allocated
0,0x85c12000,Cont,NonPagedPool,0x1000,Allocated
0,0x8601d000,Cont,NonPagedPool,0x1000,Allocated
0,0x8d031000,MmRe,PagedPool,0x11c0,Allocated
0,0x8d1a9000,CM17,PagedPool,0x2000,Allocated
0,0x88827000,MmRe,PagedPool,0x1650,Allocated
0,0x965c7000,CM25,PagedPool,0x1000,Allocated
0,0x92dd5000,CM25,PagedPool,0x1000,Allocated
0,0x931d2000,CM25,PagedPool,0x1000,Allocated
0,0x929d4000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x92c4d000,CM25,PagedPool,0x1000,Allocated
0,0x9304a000,CM25,PagedPool,0x1000,Allocated
0,0x9284c000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93c49000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94457000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x945cf000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94854000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x949cc000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94dcd000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9645f000,CM16,PagedPool,0x1000,Allocated
0,0x9685c000,MmSt,Unknown choice 2147483649,0x75d8,Allocated
0,0x85e98000,Cont,NonPagedPool,0x1000,Allocated
0,0x912d4000,CM25,PagedPool,0x1000,Allocated
0,0x92ada000,CM25,PagedPool,0x1000,Allocated
0,0x92edb000,CM25,PagedPool,0x1000,Allocated
0,0x93edf000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9353a000,MmRe,PagedPool,0x2d40,Allocated
0,0x92d3c000,CM25,PagedPool,0x1000,Allocated
0,0x9313b000,CM25,PagedPool,0x1000,Allocated
0,0x9213f000,MmRe,PagedPool,0x14d0,Allocated
0,0x93d38000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x942c0000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94526000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x946c1000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94925000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94ac2000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94d24000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x85f97000,Cont,NonPagedPool,0x1000,Allocated
0,0x913c5000,CM25,PagedPool,0x1000,Allocated
0,0x92bcb000,CM25,PagedPool,0x1000,Allocated
0,0x92fca000,CM25,PagedPool,0x1000,Allocated
0,0x937cc000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9122d000,CM25,PagedPool,0x1000,Allocated
0,0x92a23000,CM25,PagedPool,0x1000,Allocated
