TreeDepth,Offset,RecordType,RecordNumber,LinkCount,MFTType,Permissions,AttributeType,Created,Modified,Updated,Accessed,Filename
1,0x8a414128,FILE,42320,2,File,Archive,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,HardwareEvents.evtx
0,0x8a414450,FILE,42321,2,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:32.000000 ,2023-04-25 00:37:45.000000 ,2023-04-25 00:37:45.000000 ,2023-04-25 00:35:32.000000 ,N/A
1,0x8a4144b0,FILE,42321,2,File,Archive,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,MICROS~2.EVT
1,0x8a414528,FILE,42321,2,File,Archive,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,Microsoft-Windows-Kernel-WHEA%4Errors.evtx
0,0x8a414850,FILE,42322,2,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:32.000000 ,2023-04-24 14:41:38.000000 ,2023-04-24 14:41:38.000000 ,2023-04-25 00:35:32.000000 ,N/A
1,0x8a4148b0,FILE,42322,2,File,Archive,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,MICROS~3.EVT
1,0x8a414928,FILE,42322,2,File,Archive,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,Microsoft-Windows-Kernel-WHEA%4Operational.evtx
0,0x8a414c50,FILE,42323,2,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:33.000000 ,2023-04-25 00:37:45.000000 ,2023-04-25 00:37:45.000000 ,2023-04-25 00:35:33.000000 ,N/A
1,0x8a414cb0,FILE,42323,2,File,Archive,FILE_NAME,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,MICROS~4.EVT
1,0x8a414d28,FILE,42323,2,File,Archive,FILE_NAME,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,Microsoft-Windows-Kernel-StoreMgr%4Operational.evtx
0,0x8a415050,FILE,42324,1,DirInUse,N/A,STANDARD_INFORMATION,2023-04-25 00:35:33.000000 ,2023-04-24 14:55:50.000000 ,2023-04-24 14:55:50.000000 ,2023-04-24 14:55:50.000000 ,N/A
1,0x8a4150b0,FILE,42324,1,DirInUse,0x0,FILE_NAME,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,Prefetch
0,0x8a415450,FILE,42325,2,DirInUse,N/A,STANDARD_INFORMATION,2023-04-25 00:35:33.000000 ,2023-04-24 14:42:31.000000 ,2023-04-24 14:42:31.000000 ,2023-04-24 14:42:31.000000 ,N/A
1,0x8a4154b0,FILE,42325,2,DirInUse,0x0,FILE_NAME,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,READYB~1
1,0x8a415520,FILE,42325,2,DirInUse,0x0,FILE_NAME,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:33.000000 ,ReadyBoot
0,0x8a415850,FILE,42326,1,File,N/A,STANDARD_INFORMATION,2017-02-10 23:04:24.000000 ,2017-02-10 23:04:24.000000 ,2023-04-24 14:40:15.000000 ,2023-04-24 14:40:15.000000 ,N/A
1,0x8a4158b0,FILE,42326,1,File,Archive,FILE_NAME,2023-04-24 14:40:15.000000 ,2023-04-24 14:40:15.000000 ,2023-04-24 14:40:15.000000 ,2023-04-24 14:40:15.000000 ,TPPS.ini
0,0x8a415c50,FILE,42327,1,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:48.000000 ,2023-04-25 00:35:48.000000 ,2023-04-25 00:35:33.000000 ,N/A
1,0x8a415cb0,FILE,42327,1,File,ArchiveHiddenSystem,FILE_NAME,2023-04-25 00:35:33.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:33.000000 ,tracking.log
0,0x8a416050,FILE,42328,2,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:34.000000 ,2023-04-24 14:41:40.000000 ,2023-04-24 14:41:40.000000 ,2023-04-25 00:35:34.000000 ,N/A
1,0x8a4160b0,FILE,42328,2,File,Archive,FILE_NAME,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,MIE38D~1.EVT
1,0x8a416128,FILE,42328,2,File,Archive,FILE_NAME,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,Microsoft-Windows-GroupPolicy%4Operational.evtx
0,0x8a416450,FILE,42329,2,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:34.000000 ,2023-04-24 14:41:42.000000 ,2023-04-24 14:41:42.000000 ,2023-04-25 00:35:34.000000 ,N/A
1,0x8a4165a8,FILE,42329,2,File,Archive,FILE_NAME,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,SETUPA~2.LOG
1,0x8a416620,FILE,42329,2,File,Archive,FILE_NAME,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,setupapi.dev.log
0,0x8a416850,FILE,42330,1,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:34.000000 ,2023-04-24 14:57:31.000000 ,2023-04-24 14:57:31.000000 ,2023-04-24 14:41:16.000000 ,N/A
1,0x8a4168b0,FILE,42330,1,File,Archive,FILE_NAME,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,Syscache.hve
0,0x8a416c50,FILE,42331,2,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:34.000000 ,2023-04-24 14:57:31.000000 ,2023-04-24 14:57:31.000000 ,2023-04-25 00:35:34.000000 ,N/A
1,0x8a416cb0,FILE,42331,2,File,ArchiveHiddenSystem,FILE_NAME,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,SYSCAC~1.LOG
1,0x8a416d28,FILE,42331,2,File,ArchiveHiddenSystem,FILE_NAME,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,Syscache.hve.LOG1
0,0x8a417050,FILE,42332,2,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:34.000000 ,2023-04-24 14:41:40.000000 ,2023-04-24 14:41:40.000000 ,2023-04-25 00:35:34.000000 ,N/A
1,0x8a4170b0,FILE,42332,2,File,Archive,FILE_NAME,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,MI4D4C~1.EVT
1,0x8a417128,FILE,42332,2,File,Archive,FILE_NAME,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,2023-04-25 00:35:34.000000 ,Microsoft-Windows-User Profile Service%4Operational.evtx
0,0x8a417450,FILE,42333,1,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:34.000000 ,2023-04-24 14:41:41.000000 ,2023-04-24 14:41:41.000000 ,2023-04-25 00:35:34.000000 ,N/A
