TreeDepth,Offset,Name,Size
0,0x4f062d0,\\Windows\\System32\\wmsgapi.dll,128
0,0x4f06518,\\Windows\\System32\\sysntfy.dll,128
0,0x4f06bf8,\\Endpoint,128
0,0x4f06e50,\\Windows\\System32\\appidsvc.dll,128
0,0x4f1f458,\\Windows\\System32\\keyiso.dll,128
0,0x4f1f578,\\Windows\\System32\\iphlpsvc.dll,128
0,0x4f1f970,\\Windows\\System32\\en-US\\IPBusEnum.dll.mui,128
0,0x4f1fb20,\\Windows\\System32\\en-US\\iphlpsvc.dll.mui,128
0,0x4f85038,\\Windows\\System32,128
0,0x4f85aa8,\\Windows\\System32,128
0,0x503b038,\\atsvc,128
0,0x503b0f0,\\Windows\\System32\\dwmcore.dll,128
0,0x503b3b8,\\Windows\\System32\\d3d10_1.dll,128
0,0x503bec8,\\atsvc,128
0,0x5073438,\\Device\\HarddiskVolume1\\Users\\Hoxed\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat{7290d4c6-e301-11ed-b870-d8fc93a830fd}.TM,128
0,0x50735f0,\\Device\\HarddiskVolume1\\Users\\Hoxed\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat{7290d4c6-e301-11ed-b870-d8fc93a830fd}.TM,128
0,0x5073f80,\\Users\\Hoxed\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat{7290d4c6-e301-11ed-b870-d8fc93a830fd}.TMContainer00000000000000000002.regtrans-ms,128
0,0x51869a8,\\Windows\\winsxs\\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2,128
0,0x5186a60,\\Windows\\System32\\dbghelp.dll,128
0,0x5186b60,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\DiskDiagnostic\\Microsoft-Windows-DiskDiagnosticResolver,128
0,0x5186c18,\\Windows\\winsxs\\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2,128
0,0x51c3230,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\Diagnosis\\Scheduled,128
0,0x5200038,\\Windows\\System32\\SensorsCpl.dll,128
0,0x52009f8,\\Windows\\System32\\scrrun.dll,128
0,0x5200ce0,\\Windows\\System32\\en-US\\audiodg.exe.mui,128
0,0x5200f80,\\Windows\\Fonts\\ahronbd.ttf,128
0,0x5313248,\\Users\\Hoxed\\AppData\\Roaming\\Microsoft\\Windows\\Start Menu\\Programs\\Accessories\\System Tools\\Desktop.ini,128
0,0x5313300,\\Windows\\Fonts\\smallf.fon,128
0,0x53135a8,\\Windows\\Fonts\\serife.fon,128
0,0x53137d0,\\Windows\\winsxs\\x86_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_en-us_581cd2bf5825dde9\\comctl32.dll.mui,128
0,0x5313888,\\Windows\\Fonts\\sserife.fon,128
0,0x53cd770,\\Windows\\explorer.exe,128
0,0x53cd898,\\Windows\\System32\\SearchProtocolHost.exe,128
0,0x547e038,\\Windows\\System32\\LogFiles\\Scm\\fa857287-674e-48c0-8a7a-e5d44062a3cf,128
0,0x547e8e8,\\Windows\\System32\\synceng.dll,128
0,0x547eb30,\\Users\\Hoxed\\Desktop\\desktop.ini,128
0,0x547ec98,\\Program Files\\VMware\\VMware Tools\\VMware VGAuth\\iconv.dll,128
0,0x547ee18,\\ProgramData\\Microsoft\\Search\\Data\\Applications\\Windows\\Projects\\SystemIndex\\Indexer\\CiFiles\\00010003.wid,128
0,0x5488a60,\\Windows\\win.ini,128
0,0x5492278,\\Windows\\System32\\LogFiles\\Scm\\0d9b5d92-3a22-486d-a887-3aa21597cf27,128
