TreeDepth,Offset,Base,Size,Name,Path,Fileoutput
0,0x3e969430,0x8c7bc000,0xd000,CompositeBus.sys,\\SystemRoot\\system32\\DRIVERS\\CompositeBus.sys,Disabled
0,0x3ea97aa8,0x938b5000,0x21000,tunnel.sys,\\SystemRoot\\system32\\DRIVERS\\tunnel.sys,Disabled
0,0x3eb090d8,0x8c797000,0xf000,usbehci.sys,\\SystemRoot\\system32\\DRIVERS\\usbehci.sys,Disabled
0,0x3eb22688,0x9388f000,0x18000,dfsc.sys,\\SystemRoot\\System32\\Drivers\\dfsc.sys,Disabled
0,0x3eb23ee0,0x93925000,0x2c000,vm3dmp.sys,\\SystemRoot\\system32\\DRIVERS\\vm3dmp.sys,Disabled
0,0x3eb93c78,0x8c615000,0xb7000,dxgkrnl.sys,\\SystemRoot\\System32\\drivers\\dxgkrnl.sys,Disabled
0,0x3eb94da8,0x8c778000,0x1f000,HDAudBus.sys,\\SystemRoot\\system32\\DRIVERS\\HDAudBus.sys,Disabled
0,0x3eb9bb50,0x8c7f3000,0xb000,ndistapi.sys,\\SystemRoot\\system32\\DRIVERS\\ndistapi.sys,Disabled
0,0x3eb9c3e0,0x938d6000,0x18000,i8042prt.sys,\\SystemRoot\\system32\\DRIVERS\\i8042prt.sys,Disabled
0,0x3eb9e698,0x93973000,0x18000,raspppoe.sys,\\SystemRoot\\system32\\DRIVERS\\raspppoe.sys,Disabled
0,0x3eb9ec78,0x8c705000,0xb000,usbuhci.sys,\\SystemRoot\\system32\\DRIVERS\\usbuhci.sys,Disabled
0,0x3eb9f628,0x8c7c9000,0x12000,AgileVpn.sys,\\SystemRoot\\system32\\DRIVERS\\AgileVpn.sys,Disabled
0,0x3eba4798,0x8c710000,0x4b000,USBPORT.SYS,\\SystemRoot\\system32\\DRIVERS\\USBPORT.SYS,Disabled
0,0x3ebac2f8,0x938a7000,0xe000,blbdrive.sys,\\SystemRoot\\system32\\DRIVERS\\blbdrive.sys,Disabled
0,0x3ebb0a18,0x872e7000,0x21000,VIDEOPRT.SYS,\\SystemRoot\\System32\\drivers\\VIDEOPRT.SYS,Disabled
0,0x3ebb28e0,0x87325000,0x8000,rdprefmp.sys,\\SystemRoot\\system32\\drivers\\rdprefmp.sys,Disabled
0,0x3ebc5a48,0x8c6cc000,0x39000,dxgmms1.sys,\\SystemRoot\\System32\\drivers\\dxgmms1.sys,Disabled
0,0x3ebcd370,0x93910000,0xa000,serenum.sys,\\SystemRoot\\system32\\DRIVERS\\serenum.sys,Disabled
0,0x3ebcdee0,0x8c7aa000,0x12000,intelppm.sys,\\SystemRoot\\system32\\DRIVERS\\intelppm.sys,Disabled
0,0x3ebcee50,0x8c75b000,0x1d000,E1G60I32.sys,\\SystemRoot\\system32\\DRIVERS\\E1G60I32.sys,Disabled
0,0x3ebd6220,0x872a1000,0x1f000,cdrom.sys,\\SystemRoot\\system32\\DRIVERS\\cdrom.sys,Disabled
0,0x3ebe5ee0,0x938fb000,0x8000,vmmouse.sys,\\SystemRoot\\system32\\DRIVERS\\vmmouse.sys,Disabled
0,0x3ebea470,0x939b9000,0x34000,ks.sys,\\SystemRoot\\system32\\DRIVERS\\ks.sys,Disabled
0,0x3ebeaba0,0x9391a000,0xb000,fdc.sys,\\SystemRoot\\system32\\DRIVERS\\fdc.sys,Disabled
0,0x3ebed3c8,0x938ee000,0xd000,kbdclass.sys,\\SystemRoot\\system32\\DRIVERS\\kbdclass.sys,Disabled
0,0x3ebfbf88,0x93883000,0xc000,discache.sys,\\SystemRoot\\System32\\drivers\\discache.sys,Disabled
0,0x3ffeb030,0x871db000,0x10000,mup.sys,\\SystemRoot\\System32\\Drivers\\mup.sys,Disabled
0,0x3ffeb0a8,0x86ead000,0xb7000,ndis.sys,\\SystemRoot\\system32\\drivers\\ndis.sys,Disabled
0,0x3ffeb120,0x86ea4000,0x9000,Fs_Rec.sys,\\SystemRoot\\System32\\Drivers\\Fs_Rec.sys,Disabled
0,0x3ffeb1a0,0x86e96000,0xe000,pcw.sys,\\SystemRoot\\System32\\drivers\\pcw.sys,Disabled
0,0x3ffeb218,0x86e39000,0x5d000,cng.sys,\\SystemRoot\\System32\\Drivers\\cng.sys,Disabled
0,0x3ffeb290,0x82e00000,0x13000,ksecdd.sys,\\SystemRoot\\System32\\Drivers\\ksecdd.sys,Disabled
0,0x3ffeb310,0x86dd4000,0x2b000,msrpc.sys,\\SystemRoot\\System32\\Drivers\\msrpc.sys,Disabled
0,0x3ffeb390,0x86ca5000,0x12f000,Ntfs.sys,\\SystemRoot\\System32\\Drivers\\Ntfs.sys,Disabled
0,0x3ffeb408,0x86c94000,0x11000,fileinfo.sys,\\SystemRoot\\system32\\drivers\\fileinfo.sys,Disabled
0,0x3ffeb488,0x86c60000,0x34000,fltmgr.sys,\\SystemRoot\\system32\\drivers\\fltmgr.sys,Disabled
0,0x3ffeb508,0x86c57000,0x9000,amdxata.sys,\\SystemRoot\\system32\\drivers\\amdxata.sys,Disabled
0,0x3ffeb588,0x86c4d000,0xa000,msahci.sys,\\SystemRoot\\system32\\drivers\\msahci.sys,Disabled
0,0x3ffeb608,0x86c05000,0x48000,storport.sys,\\SystemRoot\\system32\\drivers\\storport.sys,Disabled
0,0x3ffeb688,0x82fe1000,0x18000,lsi_sas.sys,\\SystemRoot\\system32\\drivers\\lsi_sas.sys,Disabled
0,0x3ffeb708,0x82fbe000,0x23000,ataport.SYS,\\SystemRoot\\system32\\drivers\\ataport.SYS,Disabled
0,0x3ffeb788,0x86a16000,0x9000,atapi.sys,\\SystemRoot\\system32\\drivers\\atapi.sys,Disabled
