TreeDepth,Plugin,Description,CreatedDate,ModifiedDate,AccessedDate,ChangedDate
0,MFTScan,MFT FILE_NAME entry for WI54FB~1,2009-07-14 04:52:30.000000 ,2010-11-21 00:38:49.000000 ,2010-11-21 00:38:49.000000 ,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for WINDOW~3,2009-07-14 04:52:30.000000 ,2010-11-21 00:38:49.000000 ,N/A,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for WI54FB~1,2009-07-14 04:52:30.000000 ,2010-11-21 00:38:49.000000 ,N/A,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for WINDOW~3,2009-07-14 04:52:30.000000 ,2010-11-21 00:38:49.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for WI54FB~1,2009-07-14 04:52:30.000000 ,2010-11-21 00:38:49.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for WINDOW~3,2009-07-14 04:52:30.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for WI54FB~1,2009-07-14 04:52:30.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for HdAudio.sys,2010-11-20 21:29:03.000000 ,2010-11-20 21:29:03.000000 ,2010-11-20 21:29:03.000000 ,2023-04-25 00:37:00.000000 
0,MFTScan,MFT FILE_NAME entry for HdAudio.sys,2010-11-20 21:29:03.000000 ,2010-11-20 21:29:03.000000 ,N/A,2023-04-25 00:37:00.000000 
0,MFTScan,MFT FILE_NAME entry for HdAudio.sys,2010-11-20 21:29:03.000000 ,2010-11-20 21:29:03.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for HdAudio.sys,2010-11-20 21:29:03.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for 1394~2.INF,2010-11-20 21:32:00.000000 ,2010-11-20 21:32:05.000000 ,2010-11-20 21:32:05.000000 ,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for 1394~2.INF,2010-11-20 21:32:00.000000 ,2010-11-20 21:32:05.000000 ,N/A,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for 1394~2.INF,2010-11-20 21:32:00.000000 ,2010-11-20 21:32:05.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for 1394~2.INF,2010-11-20 21:32:00.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for X86_XN~2.163,2010-11-21 00:38:29.000000 ,2010-11-21 00:38:29.000000 ,2010-11-21 00:38:29.000000 ,2023-04-25 01:32:51.000000 
0,MFTScan,MFT FILE_NAME entry for X86_XN~2.163,2010-11-21 00:38:29.000000 ,2010-11-21 00:38:29.000000 ,N/A,2023-04-25 01:32:51.000000 
0,MFTScan,MFT FILE_NAME entry for X86_XN~2.163,2010-11-21 00:38:29.000000 ,2010-11-21 00:38:29.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for X86_XN~2.163,2010-11-21 00:38:29.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for X8612E~1.163,2010-11-21 00:38:31.000000 ,2010-11-21 00:38:31.000000 ,2010-11-21 00:38:31.000000 ,2023-04-25 01:32:51.000000 
0,MFTScan,MFT FILE_NAME entry for X8612E~1.163,2010-11-21 00:38:31.000000 ,2010-11-21 00:38:31.000000 ,N/A,2023-04-25 01:32:51.000000 
0,MFTScan,MFT FILE_NAME entry for X8612E~1.163,2010-11-21 00:38:31.000000 ,2010-11-21 00:38:31.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for X8612E~1.163,2010-11-21 00:38:31.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for vmmouse.sys,2017-02-10 23:41:10.000000 ,2017-02-10 23:41:10.000000 ,2023-04-24 14:40:15.000000 ,2023-04-24 14:40:48.000000 
0,MFTScan,MFT FILE_NAME entry for vmmouse.sys,2017-02-10 23:41:10.000000 ,2017-02-10 23:41:10.000000 ,N/A,2023-04-24 14:40:48.000000 
0,MFTScan,MFT FILE_NAME entry for vmmouse.sys,2017-02-10 23:41:10.000000 ,2017-02-10 23:41:10.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for vmmouse.sys,2017-02-10 23:41:10.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for VMUSBM~1.SYS,2017-02-10 23:42:40.000000 ,2017-02-10 23:42:40.000000 ,2023-04-24 14:40:15.000000 ,2023-04-24 14:40:45.000000 
0,MFTScan,MFT FILE_NAME entry for vmusbmouse.sys,2017-02-10 23:42:40.000000 ,2017-02-10 23:42:40.000000 ,2023-04-24 14:40:15.000000 ,2023-04-24 14:40:45.000000 
0,MFTScan,MFT FILE_NAME entry for VMUSBM~1.SYS,2017-02-10 23:42:40.000000 ,2017-02-10 23:42:40.000000 ,N/A,2023-04-24 14:40:45.000000 
0,MFTScan,MFT FILE_NAME entry for vmusbmouse.sys,2017-02-10 23:42:40.000000 ,2017-02-10 23:42:40.000000 ,N/A,2023-04-24 14:40:45.000000 
0,MFTScan,MFT FILE_NAME entry for VMUSBM~1.SYS,2017-02-10 23:42:40.000000 ,2017-02-10 23:42:40.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for vmusbmouse.sys,2017-02-10 23:42:40.000000 ,2017-02-10 23:42:40.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for VMUSBM~1.SYS,2017-02-10 23:42:40.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for vmusbmouse.sys,2017-02-10 23:42:40.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for CBS.log,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 
0,MFTScan,MFT FILE_NAME entry for MI75EC~1.EVT,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 
