TreeDepth,Tag,Offset,Layer,Name
0,symbol_table_name1!_FILE_OBJECT,0x3ebd87c8,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-SecureStartup-Basic-Package~31bf3856ad364e35~x86~~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebd8968,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-RemoteAssistance-Package-Client~31bf3856ad364e35~x86~en-US~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebd8b40,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-RecDisc-SDP-Package~31bf3856ad364e35~x86~~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe53d0,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~x86~~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe55a8,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Printing-PremiumTools-Package~31bf3856ad364e35~x86~en-US~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe5808,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Printing-PremiumTools-Package~31bf3856ad364e35~x86~~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe5b20,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Shell-SoundThemes-Package~31bf3856ad364e35~x86~~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe5c58,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Printing-PremiumTools-Package~31bf3856ad364e35~x86~en-US~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe5e30,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Printing-LocalPrinting-Home-Package~31bf3856ad364e35~x86~~6.1.7600.16385.cat
0,symbol_table_name1!_LDR_DATA_TABLE_ENTRY,0x3ebe5ed8,memory_layer,N/A
0,symbol_table_name1!_FILE_OBJECT,0x3ebe6318,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-ParentalControls-Package~31bf3856ad364e35~x86~~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe6440,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Security-SPP-Component-SKU-Enterprise-Package~31bf3856ad364e35~x86~~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe6640,memory_layer,\\Windows\\assembly\\GAC_32\\System.Data\\2.0.0.0__b77a5c561934e089\\System.Data.dll
0,symbol_table_name1!_FILE_OBJECT,0x3ebe69d0,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-ParentalControls-Package~31bf3856ad364e35~x86~en-US~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe6c30,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-ParentalControls-Package~31bf3856ad364e35~x86~~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe8000,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\prnca003.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe80c8,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\prnca00e.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe8498,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\prnca00d.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe8820,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\prnca00c.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe89f8,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\prnca00b.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebe8b20,memory_layer,\\Windows\\System32\\drivers\\usbuhci.sys
0,symbol_table_name1!_FILE_OBJECT,0x3ebe8e90,memory_layer,\\Windows\\System32\\drivers\\vmmouse.sys
0,symbol_table_name1!_LDR_DATA_TABLE_ENTRY,0x3ebea468,memory_layer,N/A
0,symbol_table_name1!_FILE_OBJECT,0x3ebea4e0,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Indexing-Service-Package~31bf3856ad364e35~x86~en-US~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebea6b8,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-IIS-WebServer-Package~31bf3856ad364e35~x86~~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebea7e0,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Security-SPP-Component-SKU-Ultimate-Package~31bf3856ad364e35~x86~~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebea918,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-IIS-WebServer-Package~31bf3856ad364e35~x86~~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebeaaf0,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-IIS-WebServer-Package~31bf3856ad364e35~x86~en-US~6.1.7601.17514.cat
0,symbol_table_name1!_LDR_DATA_TABLE_ENTRY,0x3ebeab98,memory_layer,N/A
0,symbol_table_name1!_FILE_OBJECT,0x3ebeae30,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-IIS-WebServer-Package~31bf3856ad364e35~x86~en-US~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebeb358,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Help-CoreClientUAUE-Package~31bf3856ad364e35~x86~~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebeb530,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Help-CoreClientUAUE-Package~31bf3856ad364e35~x86~en-US~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebebbc8,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Help-CoreClientUASE-Package~31bf3856ad364e35~x86~~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebebc78,memory_layer,\\ProtectedPrefix
0,symbol_table_name1!_FILE_OBJECT,0x3ebebe28,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Help-CoreClientUASE-Package~31bf3856ad364e35~x86~~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebed118,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-MediaPlayback-OC-Package~31bf3856ad364e35~x86~~6.1.7601.17514.cat
0,symbol_table_name1!_LDR_DATA_TABLE_ENTRY,0x3ebed3c0,memory_layer,N/A
0,symbol_table_name1!_FILE_OBJECT,0x3ebed750,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-MediaPlayback-OC-Package~31bf3856ad364e35~x86~en-US~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebed9b0,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-MediaPlayback-OC-Package~31bf3856ad364e35~x86~~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebedf58,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-MediaPlayback-OC-Package~31bf3856ad364e35~x86~en-US~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebee000,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Hyper-V-Guest-Integration-Drivers-Package~31bf3856ad364e35~x86~~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebeea10,memory_layer,\\$Mft
0,symbol_table_name1!_FILE_OBJECT,0x3ebeee38,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-GPUPipeline-Package~31bf3856ad364e35~x86~en-US~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebfb6f0,memory_layer,\\Windows\\System32\\drivers\\blbdrive.sys
0,symbol_table_name1!_DRIVER_OBJECT,0x3ebfbbe0,memory_layer,N/A
0,symbol_table_name1!_LDR_DATA_TABLE_ENTRY,0x3ebfbf80,memory_layer,N/A
0,symbol_table_name1!_DRIVER_OBJECT,0x3ec2ad78,memory_layer,N/A
0,symbol_table_name1!_DRIVER_OBJECT,0x3eca78a0,memory_layer,N/A
0,symbol_table_name1!_DRIVER_OBJECT,0x3ed972e0,memory_layer,N/A
0,symbol_table_name1!_DRIVER_OBJECT,0x3ed97998,memory_layer,N/A
0,symbol_table_name1!_DRIVER_OBJECT,0x3ed97a90,memory_layer,N/A
0,symbol_table_name1!_FILE_OBJECT,0x3ed9b668,memory_layer,\\Windows\\Fonts\\himalaya.ttf
0,symbol_table_name1!_FILE_OBJECT,0x3ed9bb98,memory_layer,\\Program Files\\7-Zip\\7zFM.exe
0,symbol_table_name1!_DRIVER_OBJECT,0x3ed9d310,memory_layer,N/A
0,symbol_table_name1!_DRIVER_OBJECT,0x3eda55f8,memory_layer,N/A
0,symbol_table_name1!_DRIVER_OBJECT,0x3eda6e40,memory_layer,N/A
0,symbol_table_name1!_DRIVER_OBJECT,0x3edb1078,memory_layer,N/A
0,symbol_table_name1!_DRIVER_OBJECT,0x3edb1170,memory_layer,N/A
0,symbol_table_name1!_FILE_OBJECT,0x3edc75b8,memory_layer,\\Windows\\winsxs\\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57\\msvcp90.dll
0,symbol_table_name1!_FILE_OBJECT,0x3edd4270,memory_layer,\\Windows\\System32\\mswstr10.dll
0,symbol_table_name1!_FILE_OBJECT,0x3edd45c0,memory_layer,\\Windows\\System32\\UIRibbon.dll
0,symbol_table_name1!_FILE_OBJECT,0x3edd4ee0,memory_layer,\\Windows\\System32\\version.dll
0,symbol_table_name1!_DRIVER_OBJECT,0x3edd7f08,memory_layer,N/A
0,symbol_table_name1!_FILE_OBJECT,0x3ef19808,memory_layer,\\Windows\\System32\\DXP.dll
0,symbol_table_name1!_FILE_OBJECT,0x3ef19978,memory_layer,\\Windows\\System32\\Syncreg.dll
0,symbol_table_name1!_FILE_OBJECT,0x3ef19d18,memory_layer,\\Windows\\System32\\en-US\\BdeUnlockWizard.exe.mui
0,symbol_table_name1!_FILE_OBJECT,0x3ef1a1c0,memory_layer,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Accessories\\Sync Center.lnk
0,symbol_table_name1!_FILE_OBJECT,0x3ef1a918,memory_layer,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Accessories\\displayswitch.lnk
0,symbol_table_name1!_FILE_OBJECT,0x3ef1b418,memory_layer,\\$Directory
