File,Result
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82425380.0x82427008.ImageSectionObject.nsisvc.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82426458.0x82426210.ImageSectionObject.nlasvc.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82426788.0x82426660.ImageSectionObject.netprofm.dll-1.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82426788.0x82426660.ImageSectionObject.netprofm.dll-2.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82426788.0x82426660.ImageSectionObject.netprofm.dll-3.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82426788.0x82426660.ImageSectionObject.netprofm.dll-4.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82426788.0x82426660.ImageSectionObject.netprofm.dll-5.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82426788.0x82426660.ImageSectionObject.netprofm.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x824268a8.0x82426c98.ImageSectionObject.netman.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82428478.0x824281c0.ImageSectionObject.umpnpmgr.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82428e28.0x82428be0.ImageSectionObject.pcasvc.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x8242a038.0x8242adf0.ImageSectionObject.umpo.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x8242ad68.0x8242ab88.ImageSectionObject.profsvc.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x8242cec8.0x8242ca08.ImageSectionObject.RpcEpMap.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x8242d5f0.0x824365e8.ImageSectionObject.tcpipcfg.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x8242dd40.0x8242daf8.ImageSectionObject.Sens.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x8242dd40.0x82566f78.DataSectionObject.Sens.dll.dat","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x824360a8.0x824363f8.ImageSectionObject.spoolsv.exe.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x824360a8.0x863c3348.DataSectionObject.spoolsv.exe.dat","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82436370.0x859abea8.ImageSectionObject.sppsvc.exe.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82436f80.0x82436af8.ImageSectionObject.shsvcs.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82437eb8.0x82437c70.ImageSectionObject.ssdpsrv.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x8243ec88.0x8243eaa8.ImageSectionObject.sysmain.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x824429b0.0x82442580.ImageSectionObject.themeservice.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82443038.0x82443df0.ImageSectionObject.trkwks.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x8244aac8.0x8244a880.ImageSectionObject.dwm.exe.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x8244f428.0x86456e38.ImageSectionObject.VGAuthService.exe.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x824508a8.0x824504a8.ImageSectionObject.wercplsupport.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x824513b0.0x82451168.ImageSectionObject.winhttp.dll-1.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x824513b0.0x82451168.ImageSectionObject.winhttp.dll-2.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x824513b0.0x82451168.ImageSectionObject.winhttp.dll-3.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x824513b0.0x82451168.ImageSectionObject.winhttp.dll-4.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x824513b0.0x82451168.ImageSectionObject.winhttp.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82452448.0x82452200.ImageSectionObject.wmpnetwk.exe.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x824534f8.0x82453208.ImageSectionObject.wscsvc.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82453910.0x865b9bf0.ImageSectionObject.wuaueng.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82455240.0x82455850.ImageSectionObject.ubpm.dll-1.img","OK"
